#,Name,Level{Item},Rarity,FilterGroup,ItemUICategory,ItemSearchCategory,EquipSlotCategory,ItemSortCategory,StackSize,IsUnique,IsUntradable,Price{Mid},Price{Low},CanBeHq,IsDyeable,ClassJob{Repair},Level{Equip},EquipRestriction,ClassJobCategory,GrandCompany,ItemSeries,Model{Main},Model{Sub},ClassJob{Use},MaterializeType,MateriaSlotCount,IsPvP,IsGlamourous
7911,Old Hollow Eyes,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7912,Sylphsbane,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7913,Floating Boulder,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7914,The Grinner,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7915,Shark Tuna,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7916,Worm of Nym,80,2,12,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7917,Twitchbeard,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7918,The Warden's Wand,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7919,Spearnose,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7920,Levinlight,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7921,The Sinker,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7922,The Gobfather,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7923,Sweetnewt,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7924,Bombardfish,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7925,The Salter,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7926,The Lone Ripper,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7927,King of the Spring,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7928,Discobolus,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7929,Iron Noose,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7930,Olgoi-Khorkhoi,80,2,16,47,0,0,14,999,False,True,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7931,Magic Carpet,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7932,Daniffen's Mark,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7933,Charon's Lantern,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7934,The Green Jester,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7935,Bloodbath,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7936,Son of Levin,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7937,Thundergut,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7938,The Drowned Sniper,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7939,The Terpsichorean,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7940,Mirrorscale,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7941,Helmsman's Hand,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7942,The Thousand-year Itch,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7943,Hannibal,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7944,Dawn Maiden,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7945,Starbright,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7946,The Matriarch,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7947,Shadowstreak,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7948,The Captain's Chalice,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7949,Anomalocaris,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7950,Frilled Shark,80,2,16,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7951,Aetherlouse,80,2,12,47,46,0,14,999,False,False,950,29,False,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7958,Riviera Wall Shelf,45,1,14,79,71,0,50,1,False,False,19800,90,False,True,8,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7959,Gourmet Lunch,40,1,14,78,70,0,50,1,False,False,10800,150,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7960,Gourmet Supper,70,1,14,78,70,0,50,1,False,False,22176,150,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7961,Afternoon Tea Set,70,1,14,78,70,0,50,1,False,False,22176,150,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7962,Assorted Fruit,50,1,14,78,70,0,50,1,False,False,15840,150,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7963,Chilled Red,30,1,14,78,70,0,50,1,False,False,6408,150,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7964,The Five Ages,1,1,14,78,70,0,50,1,False,False,5000,30,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7965,Classified Documents,1,1,14,78,70,0,50,1,False,False,2000,30,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7966,Stuffed Goblin,55,1,14,78,70,0,50,1,False,False,17424,60,False,False,12,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7967,Ultima Weapon Miniature,1,1,14,78,70,0,50,1,False,False,25344,60,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7968,Onus of an Engineer,1,1,14,79,0,0,50,1,False,False,26136,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7969,Enquire Within,1,1,14,79,71,0,50,1,False,False,23760,1,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7970,Wall Planter,27,1,14,79,71,0,50,1,False,False,5496,60,False,False,14,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7971,Encyclopedia Eorzea,1,1,14,78,70,0,50,1,False,False,5000,30,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7972,Open Hearth,55,1,14,57,56,0,50,1,False,False,29185,90,False,False,8,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7973,Riviera Half Partition,40,1,14,77,69,0,50,1,False,False,18090,60,False,False,8,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7974,Potted Umbrella Fig,40,1,14,57,56,0,50,1,False,False,10800,90,False,False,14,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7975,Potted Dragon Tree,55,1,14,57,56,0,50,1,False,False,17424,90,False,False,14,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7976,Model Star Globe,40,1,14,78,70,0,50,1,False,False,10800,30,False,False,8,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7977,Tatami Mat,55,1,14,80,72,0,50,1,False,False,26136,150,False,False,13,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7978,Corner Counter,45,1,14,77,69,0,50,1,False,False,21120,60,False,True,8,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7979,Planter Partition,39,1,14,57,56,0,50,1,False,False,18090,90,False,False,14,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7980,Plasma Lamp,80,1,14,57,56,0,50,1,False,False,44352,60,False,False,9,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7981,Lord of Levin Lamp,100,1,14,57,56,0,50,1,False,False,55440,60,False,False,9,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7982,Emperor's Throne,100,1,14,57,68,0,50,1,False,False,55440,60,False,False,11,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7983,Riviera Doormat,40,1,14,80,72,0,50,1,False,False,16740,150,False,False,13,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7984,Double Feather Bed,70,1,14,57,68,0,50,1,False,False,36036,90,False,False,13,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7985,Chocobo Pillar,70,1,14,57,56,0,50,1,False,False,37144,75,False,False,8,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7986,Riviera Cushion,55,1,14,57,56,0,50,1,False,False,17424,90,False,False,13,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7987,Glade Cushion,55,1,14,57,56,0,50,1,False,False,17424,90,False,False,13,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7988,Oasis Cushion,55,1,14,57,56,0,50,1,False,False,17424,90,False,False,13,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7989,Chocobo Stable,1,1,14,76,67,0,50,1,False,False,125000,3000,False,True,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7990,Moonfire Lantern,1,1,14,76,67,0,50,1,False,False,24948,57,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7991,Ornamental Bamboo,1,1,14,76,67,0,50,1,False,False,20790,57,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7992,Rounded Shrub,35,1,14,76,67,0,50,1,False,False,13392,57,False,False,14,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7993,Lattice Planter,45,1,14,76,67,0,50,1,False,False,20460,57,False,True,8,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7994,Water Lilies,41,1,14,76,67,0,50,1,False,False,17010,57,False,True,14,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7995,Garden Pond,90,1,14,76,67,0,50,1,False,False,44906,57,False,False,11,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7996,Cast-iron Cookpot,30,1,14,76,67,0,50,1,False,False,10092,57,False,False,10,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7997,Stepladder,30,1,14,76,67,0,50,1,False,False,10092,57,False,True,8,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7998,Straight Stepping Stones,33,1,14,76,67,0,50,1,False,False,12960,57,False,False,11,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7999,Curved Stepping Stones,33,1,14,76,67,0,50,1,False,False,12960,57,False,False,11,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8000,Straight Stepping Stumps,70,1,14,76,67,0,50,1,False,False,33264,57,False,False,8,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8001,Curved Stepping Stumps,70,1,14,76,67,0,50,1,False,False,33264,57,False,False,8,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8002,Planter Box,45,1,14,76,67,0,50,1,False,False,20460,57,False,False,14,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8003,Wooden Bucket,1,1,14,76,67,0,50,1,False,False,17010,57,False,True,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8004,Glade Hedgewall,50,1,14,72,65,0,50,1,False,False,81180,1218,False,False,14,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8005,Oasis Fence,50,1,14,72,65,0,50,1,False,False,81180,1218,False,True,11,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8006,Riviera Fence,50,1,14,72,65,0,50,1,False,False,81180,1218,False,True,9,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8007,Riviera Flora Interior Wall,41,1,14,73,66,0,50,1,False,False,16200,150,False,False,13,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8008,Glade Flora Interior Wall,41,1,14,73,66,0,50,1,False,False,16200,150,False,False,13,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8009,Oasis Flora Interior Wall,41,1,14,73,66,0,50,1,False,False,16200,150,False,False,13,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8010,Classic Interior Wall,55,1,14,73,66,0,50,1,False,False,5000,150,False,False,13,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8011,Striped Interior Wall,45,1,14,73,66,0,50,1,False,False,19800,150,False,False,13,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8012,Mosaic Interior Wall,34,1,14,73,66,0,50,1,False,False,12960,150,False,False,11,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8013,Bisque Flooring,26,1,14,74,66,0,50,1,False,False,5000,150,False,False,14,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8014,Marble Flooring,55,1,14,74,66,0,50,1,False,False,27878,150,False,False,11,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8015,Ceramic Tile Flooring,35,1,14,74,66,0,50,1,False,False,13824,150,False,False,11,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8017,Bombard Lamp,1,1,14,75,66,0,50,1,False,False,27442,150,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8018,Throne Gem,100,1,12,48,47,0,18,999,False,False,2178,15,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8019,Levin Orb,80,1,12,48,47,0,18,999,False,False,2851,12,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8020,Large Levin Orb,100,1,12,48,47,0,18,999,False,False,3564,15,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8021,Rush Grass,55,1,12,51,50,0,16,999,False,False,196,1,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8022,Young Water Lily,40,1,12,54,53,0,16,999,False,False,216,1,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8023,Pearl Roselle,55,1,12,54,53,0,16,999,False,False,261,1,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8024,Waterfowl Feather,70,1,12,51,50,0,16,999,False,False,665,1,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8025,Floss Silk,50,1,12,51,50,0,16,999,False,False,475,1,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8026,Mist Silk,70,1,12,51,50,0,16,999,False,False,1164,1,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8027,Waterproof Cotton Cloth,55,1,12,51,50,0,16,999,False,False,914,1,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8028,Polarized Glass,55,1,12,54,53,0,16,999,False,False,936,1,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8029,Wolfram Square,90,1,12,49,48,0,16,999,False,False,2138,4,True,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8030,Antumbral Rock,75,1,16,48,0,0,55,999,False,True,1633,25,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8031,Redolent Log,75,1,16,50,0,0,55,999,False,True,801,12,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8032,Reinforced Spruce Plywood,75,1,16,50,0,0,55,999,False,True,1425,22,True,False,8,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8033,Balanced Darksteel Hook,75,1,16,49,0,0,55,999,False,True,1603,25,True,False,9,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8034,Reinforced Darksteel Wire,75,1,16,49,0,0,55,999,False,True,1603,25,True,False,10,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8035,Calibrated Rose Gold Cog,75,1,16,49,0,0,55,999,False,True,1603,25,True,False,11,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8036,Water-hardened Hippogryph Strap,75,1,16,52,0,0,55,999,False,True,742,12,True,False,12,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8037,Intricate Silver Brocade,75,1,16,51,0,0,55,999,False,True,1247,19,True,False,13,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8038,Concentrated Spirits of Salt,75,1,16,54,0,0,55,999,False,True,1277,20,True,False,14,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8039,Rich Tomato Relish,75,1,16,45,0,0,55,999,False,True,237,4,True,False,15,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8040,Talan's Seal of Mining,1,1,16,61,0,0,55,999,False,True,2970,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8041,Talan's Seal of Botany,1,1,16,61,0,0,55,999,False,True,2970,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8042,Talan's Seal of Fishing,1,1,16,61,0,0,55,999,False,True,2970,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8043,Gallant Armor Augmentation,90,1,16,56,55,0,55,999,False,False,8553,129,False,False,14,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8044,Temple Attire Augmentation,90,1,16,56,55,0,55,999,False,False,8553,129,False,False,14,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8045,Fighter's Armor Augmentation,90,1,16,56,55,0,55,999,False,False,8553,129,False,False,14,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8046,Drachen Armor Augmentation,90,1,16,56,55,0,55,999,False,False,8553,129,False,False,14,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8047,Choral Attire Augmentation,90,1,16,56,55,0,55,999,False,False,8553,129,False,False,14,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8048,Wizard's Attire Augmentation,90,1,16,56,55,0,55,999,False,False,8553,129,False,False,14,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8049,Healer's Attire Augmentation,90,1,16,56,55,0,55,999,False,False,8553,129,False,False,14,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8050,Evoker's Attire Augmentation,90,1,16,56,55,0,55,999,False,False,8553,129,False,False,14,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8051,Scholar's Attire Augmentation,90,1,16,56,55,0,55,999,False,False,8553,129,False,False,14,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8052,Bladder Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8053,Bladder Lining Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8054,Starboard Hull Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8055,Larboard Hull Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8056,Gyrodrive Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8057,Rigging Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8058,Deck Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8059,Engine Casing Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8060,Crafting Tool Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8061,Cockpit Exterior Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8062,Cockpit Interior Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8063,Ballast Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8064,Instrument Panel Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8065,Aerodynamo Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8066,Starboard Wing Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8067,Larboard Wing Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8068,Starboard Wing Control Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8069,Larboard Wing Control Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8070,Transmission Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8071,Heat Vent Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8072,Speaking Tube Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8073,Lamp Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8074,Exhaust Outlet Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8075,Disposal Unit Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8076,Ceruleum Tank Component Materials,1,1,12,63,0,0,24,999,False,True,19,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
